code	country	areacode	state	GMT	DST	DST_RANGE	GEOGRAPHIC DESCRIPTION	TZ_CODE	PHP_TZ
52	MEX	645	SON	-7	N		Bacoachimcj	MST	America/Hermosillo
52	MEX	646	BC	-8	Y	FSA-LSO	Ensenada, B.C.tt	PST	America/Tijuana
52	MEX	647	SON	-7	N		Alamosk	MST	America/Hermosillo
52	MEX	648	CHIH	-7	Y	FSA-LSO	Boquilla De Babisas  La Boquilla De Conchos 	MST	America/Chihuahua
52	MEX	649	CHIH	-7	Y	FSA-LSO	Baborigame	MST	America/Chihuahua
52	MEX	651	SON	-7	N		Sonoitakhk	MST	America/Hermosillo
52	MEX	652	CHIH	-7	Y	FSA-LSO	Largo, El	MST	America/Chihuahua
52	MEX	653	SON	-7	N		San Luis Rio Colorado	MST	America/Hermosillo
52	MEX	656	CHIH	-7	Y	FSA-LSO	Ciudad Juarez	MST	America/Chihuahua
52	MEX	658	BC	-8	Y	FSA-LSO	Ciudad Morelos  Cuervos t	PST	America/Tijuana
52	MEX	659	CHIH	-7	Y	FSA-LSO	Abraham Gonzalez	MST	America/Chihuahua
52	MEX	661	BC	-8	Y	FSA-LSO	Playas De Rosarito	PST	America/Tijuana
52	MEX	662	SON	-7	N		Hermosillo, Son.vkv	MST	America/Hermosillo
52	MEX	663	BC	-8	Y	FSA-LSO	Tijuana, B.C.j	PST	America/Tijuana
52	MEX	664	BC	-8	Y	FSA-LSO	Tijuana, B.C.j	PST	America/Tijuana
52	MEX	665	BC	-8	Y	FSA-LSO	Tecatese	PST	America/Tijuana
52	MEX	666	BC	-8	Y	FSA-LSO	Tijuana, B.C.j	PST	America/Tijuana
52	MEX	667	SIN	-7	Y	FSA-LSO	Culiacan	MST	America/Chihuahua
52	MEX	668	SIN	-7	Y	FSA-LSO	Los Mochis, Sin.qx	MST	America/Chihuahua
52	MEX	669	SIN	-7	Y	FSA-LSO	Mazatlan	MST	America/Chihuahua
52	MEX	671		-6	Y	FSA-LSO	Cuencame De Ceniceros  Cuencame ah	CST	America/Mexico_City
52	MEX	672	SIN	-7	Y	FSA-LSO	Altatajm	MST	America/Chihuahua
52	MEX	673	SIN	-7	Y	FSA-LSO	Benito Juareznv	MST	America/Chihuahua
52	MEX	674		-6	Y	FSA-LSO	Canelas	CST	America/Mexico_City
52	MEX	675		-6	Y	FSA-LSO	Cieneguilla	CST	America/Mexico_City
52	MEX	676		-6	Y	FSA-LSO	Antonio Amaro  Saucillo hmj	CST	America/Mexico_City
52	MEX	677		-6	Y	FSA-LSO	Abasolomvd	CST	America/Mexico_City
52	MEX	686	BC	-8	Y	FSA-LSO	Mexicali, B.C.	PST	America/Tijuana
52	MEX	687	SIN	-7	Y	FSA-LSO	Adolfo Ruiz Cortinesqj	MST	America/Chihuahua
52	MEX	694	SIN	-7	Y	FSA-LSO	Agua Caliente De Garate  Agua Caliente k	MST	America/Chihuahua
52	MEX	695	SIN	-7	Y	FSA-LSO	Concha, La  La Concepcion w	MST	America/Chihuahua
52	MEX	696	SIN	-7	Y	FSA-LSO	Bolillo, Elg	MST	America/Chihuahua
52	MEX	697	SIN	-7	Y	FSA-LSO	Angosturay	MST	America/Chihuahua
52	MEX	698	SIN	-7	Y	FSA-LSO	Adolfo Lopez Mateos  Jahuara Segundo wfp	MST	America/Chihuahua
52	MEX	711		-6	Y	FSA-LSO	Oro De Hidalgo, Elh	CST	America/Mexico_City
52	MEX	712		-6	Y	FSA-LSO	Atlacomulco De Fabelahwk	CST	America/Mexico_City
52	MEX	713		-6	Y	FSA-LSO	San Nicolas Tlazalah	CST	America/Mexico_City
52	MEX	714		-6	Y	FSA-LSO	Chalma	CST	America/Mexico_City
52	MEX	715		-6	Y	FSA-LSO	Heroica Zitacuaro	CST	America/Mexico_City
52	MEX	716		-6	Y	FSA-LSO	Almoloya De Alquisiraswn	CST	America/Mexico_City
52	MEX	717		-6	Y	FSA-LSO	Atlatlahucaffe	CST	America/Mexico_City
52	MEX	718		-6	Y	FSA-LSO	Acambay	CST	America/Mexico_City
52	MEX	719		-6	Y	FSA-LSO	Emiliano Zapata  Colonia Emiliano Zapata zv	CST	America/Mexico_City
52	MEX	721		-6	Y	FSA-LSO	Ixtapan De La Salar	CST	America/Mexico_City
52	MEX	722		-6	Y	FSA-LSO	Toluca, Mex.vg	CST	America/Mexico_City
52	MEX	723		-6	Y	FSA-LSO	Chiltepec  Chiltepec De Hidalgo q	CST	America/Mexico_City
52	MEX	724		-6	Y	FSA-LSO	Almoloya De Las Granadasy	CST	America/Mexico_City
52	MEX	725		-6	Y	FSA-LSO	Cieneguillas De Guadalupeur	CST	America/Mexico_City
52	MEX	726		-6	Y	FSA-LSO	Amanalco De Becerra	CST	America/Mexico_City
52	MEX	727		-6	Y	FSA-LSO	Atenango Del Riobwn	CST	America/Mexico_City
52	MEX	728		-6	Y	FSA-LSO	Lerma, Mex.puy	CST	America/Mexico_City
52	MEX	729		-6	Y	FSA-LSO	Toluca, Mex.vg	CST	America/Mexico_City
52	MEX	731		-6	Y	FSA-LSO	Amayucaj	CST	America/Mexico_City
52	MEX	732		-6	Y	FSA-LSO	Ajuchitlan Del Progresowq	CST	America/Mexico_City
52	MEX	733		-6	Y	FSA-LSO	Mayanalan	CST	America/Mexico_City
52	MEX	734		-6	Y	FSA-LSO	Zacatepec, Mor.j	CST	America/Mexico_City
52	MEX	735		-6	Y	FSA-LSO	Cuautla, Mor.aum	CST	America/Mexico_City
52	MEX	736		-6	Y	FSA-LSO	Acapetlahuayazu	CST	America/Mexico_City
52	MEX	737		-6	Y	FSA-LSO	Coatetelcodbf	CST	America/Mexico_City
52	MEX	738		-6	Y	FSA-LSO	Alfajayucan	CST	America/Mexico_City
52	MEX	739		-6	Y	FSA-LSO	Amatlan De Quetzalcoatl	CST	America/Mexico_City
52	MEX	741		-6	Y	FSA-LSO	Acatepecvc	CST	America/Mexico_City
52	MEX	742		-6	Y	FSA-LSO	Atoyac De Alvarezr	CST	America/Mexico_City
52	MEX	743		-6	Y	FSA-LSO	Acayucasj	CST	America/Mexico_City
52	MEX	744		-6	Y	FSA-LSO	Acapulco, Gro.g	CST	America/Mexico_City
52	MEX	745		-6	Y	FSA-LSO	Ayutla De Los Libresj	CST	America/Mexico_City
52	MEX	746		-6	Y	FSA-LSO	Benito Juarezgha	CST	America/Mexico_City
52	MEX	747		-6	Y	FSA-LSO	Chilpancingo, Gro.tp	CST	America/Mexico_City
52	MEX	748		-6	Y	FSA-LSO	Almoloyag	CST	America/Mexico_City
52	MEX	749		-6	Y	FSA-LSO	Calpulalpanp	CST	America/Mexico_City
52	MEX	751		-6	Y	FSA-LSO	Ahuehuetzingoae	CST	America/Mexico_City
52	MEX	752	MOR	-6	Y	FSA-LSO	ATLATLAHUCAN	CST	America/Mexico_City
52	MEX	753		-6	Y	FSA-LSO	Ciudad Lazaro Cardenas	CST	America/Mexico_City
52	MEX	754		-6	Y	FSA-LSO	Apangoyy	CST	America/Mexico_City
52	MEX	755		-6	Y	FSA-LSO	Zihuatanejo, Gro.	CST	America/Mexico_City
52	MEX	756		-6	Y	FSA-LSO	Ahuacuotzingou	CST	America/Mexico_City
52	MEX	757		-6	Y	FSA-LSO	Alcozauca De Guerreroswf	CST	America/Mexico_City
